typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13549.31","false","8","kg","13549.31","false","13549.31","false","0","false",,"734687.41","734687.41","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","36","AUS","Australia","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","685","false","8","kg","685","false","685","false","0","false",,"37260.27","37260.27","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","170","COL","Colombia","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.3","false","8","kg","0.3","false","0.3","false","0","false",,"248.04","248.04","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","208","DNK","Denmark","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32.6","false","8","kg","32.6","false","32.6","false","0","false",,"9237.34","9237.34","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","268","GEO","Georgia","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","110","false","8","kg","110","false","110","false","0","false",,"3801.37","3801.37","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","61.57","false","8","kg","61.57","false","61.57","false","0","false",,"4000","4000","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","368","IRQ","Iraq","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.8","false","8","kg","0.8","false","0.8","false","0","false",,"507.9","507.9","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18","false","8","kg","18","false","18","false","0","false",,"840","840","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","442","LUX","Luxembourg","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","176.39","false","8","kg","176.39","false","176.39","false","0","false",,"11877","11877","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22","false","8","kg","22","false","22","false","0","false",,"300","300","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","564.14","false","8","kg","564.14","false","564.14","false","0","false",,"2293.54","2293.54","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","764","THA","Thailand","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43.8","false","8","kg","43.8","false","43.8","false","0","false",,"2564.26","2564.26","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","784","ARE","United Arab Emirates","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4977.01","false","8","kg","4977.01","false","4977.01","false","0","false",,"209500.44","209500.44","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","795","TKM","Turkmenistan","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1800.32","false","8","kg","1800.32","false","1800.32","false","0","false",,"132848.41","132848.41","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","818","EGY","Egypt","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","65","false","8","kg","65","false","65","false","0","false",,"14196.94","14196.94","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","826","GBR","United Kingdom","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4950.83","false","8","kg","4950.83","false","4950.83","false","0","false",,"304536.9","304536.9","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","842","USA","USA","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41.55","false","8","kg","41.55","false","41.55","false","0","false",,"675","675","0","false","true",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","76503.57","false","8","kg","76503.57","false","76503.57","false","0","false","0","1909471.81","1909471.81","0","false","true",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","133.08","false","8","kg","133.08","false","133.08","false","0","false","0","8759.96","8759.96","0","true","false",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","76","BRA","Brazil","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19176.86","false","8","kg","19176.86","false","19176.86","false","0","false","0","527411.62","527411.62","0","true","false",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","152","CHL","Chile","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1492.94","false","8","kg","1492.94","false","1492.94","false","0","false","0","200139.54","200139.54","0","true","false",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","170","COL","Colombia","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1457.76","false","8","kg","1457.76","false","1457.76","false","0","false","0","67340.01","67340.01","0","true","false",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4700.5","false","8","kg","4700.5","false","4700.5","false","0","false","0","96072.43","96072.43","0","true","false",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","600","PRY","Paraguay","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","217.72","false","8","kg","217.72","false","217.72","false","0","false","0","10540.06","10540.06","0","true","false",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","604","PER","Peru","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45.74","false","8","kg","45.74","false","45.74","false","0","false","0","2095.79","2095.79","0","true","false",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","643","RUS","Russian Federation","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","85.22","false","8","kg","85.22","false","85.22","false","0","false","0","141548.73","141548.73","0","true","false",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","842","USA","USA","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45046.35","false","8","kg","45046.35","false","45046.35","false","0","false","0","678359.17","678359.17","0","true","false",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","858","URY","Uruguay","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4147.4","false","8","kg","4147.4","false","4147.4","false","0","false","0","177204.5","177204.5","0","true","false",
"C","A","20210101","2021","52","2021","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","542756.656","true","-1","N/A","0","false","542756.656","true","558368.68","false",,"20096020.397","20096020.397","6","false","true",
"C","A","20210101","2021","52","2021","36","AUS","Australia","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","841290","Engines; parts, for engines and motors of heading no. 8412","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33920.234","true","-1","N/A","0","false","33920.234","true","37483.7","false",,"1255925.123","1255925.123","6","false","true",
