typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","40","AUT","Austria","X","Export","705","SVN","Slovenia","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","250","false","250","false","0","false",,"8606.801","8606.801","0","true","false",
"C","A","20210101","2021","52","2021","40","AUT","Austria","X","Export","757","CHE","Switzerland","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","859","false","859","false","0","false",,"6866.99","6866.99","0","true","false",
"C","A","20210101","2021","52","2021","40","AUT","Austria","X","Export","842","USA","USA","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","961","false","961","false","0","false",,"90463.075","90463.075","0","true","false",
"C","A","20210101","2021","52","2021","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","362013.22","false","362013.22","false","0","false",,"1444268.581","1444268.581","0","false","true",
"C","A","20210101","2021","52","2021","56","BEL","Belgium","X","Export","208","DNK","Denmark","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","84601.6","false","84601.6","false","0","false",,"291793.483","291793.483","0","true","false",
"C","A","20210101","2021","52","2021","56","BEL","Belgium","X","Export","251","FRA","France","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","57669.9","false","57669.9","false","0","false",,"8906.508","8906.508","0","true","false",
"C","A","20210101","2021","52","2021","56","BEL","Belgium","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","2.47","false","2.47","false","0","false",,"3429.947","3429.947","0","true","false",
"C","A","20210101","2021","52","2021","56","BEL","Belgium","X","Export","442","LUX","Luxembourg","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","417.22","false","417.22","false","0","false",,"2886.714","2886.714","0","true","false",
"C","A","20210101","2021","52","2021","56","BEL","Belgium","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","481.46","false","481.46","false","0","false",,"4239.237","4239.237","0","true","false",
"C","A","20210101","2021","52","2021","56","BEL","Belgium","X","Export","699","IND","India","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","103.47","false","103.47","false","0","false",,"5887.102","5887.102","0","true","false",
